track_id,track_name,artist_name,danceability,energy,valence,speechiness,acousticness,instrumentalness,liveness,tempo,loudness
7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto),Jung Kook,0.7828709288299156,0.8373893805309733,0.9260607439426688,0.03806228373702422,0.3040344496684734,0.0,0.0621179815209666,0.4259100049026225,0.8476045163259076
5aIVCx5tnk0ntmdiinnYvw,Water,Tyla,0.644149577804584,0.7057522123893805,0.48811284268001365,0.1079152249134948,0.08645683059530823,0.0,0.1471215351812367,0.37049615961233745,0.8756789746719559
4xhsWYTOGcal8zt0J161CU,Lovin On Me,Jack Harlow,0.9698431845597104,0.5243362831858407,0.5870776930952111,0.06747404844290658,0.0026177294668369537,2.5674091441969524e-06,0.08557213930348259,0.28378368776689095,0.789258468111077
4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53/66",Bizarrap,0.8480096501809409,0.7311946902654867,0.5006256398589467,0.030925605536332182,0.28383225662546835,3.05978898007034e-05,0.1201137171286425,0.4051200431999204,0.8307598413182787
6dgUya35uo964z7GZXM07g,Nonsense,Sabrina Carpenter,0.7249698431845597,0.6780973451327432,0.7304060971448072,0.018166089965397925,0.027062383048873158,0.0,0.27078891257995735,0.5254261373729048,0.78919743667989
7KokYm8cMIXCsGVmUvKtqf,Karma,Taylor Swift,0.6043425814234018,0.5918141592920353,0.035377090205892386,0.08520761245674742,0.06261824280456219,0.0,0.6275764036958066,0.17738256797948,0.6551724137931033
6wsqVwoiVH2kde4k4KKAFU,I KNOW ?,Travis Scott,0.9505428226779253,0.5918141592920353,0.8270958935274713,0.06120242214532873,0.018779483901241054,0.0,0.10021321961620469,0.3762372016683127,0.8179432407689959
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,0.5066344993968639,0.5165929203539823,0.34364691161415084,0.23010380622837373,0.14241690532443244,0.0,0.10874200426439232,0.553960821651118,0.6476655477570947
6GGtHZgBycCgGBUhZo81xe,Say Yes To Heaven,Lana Del Rey,0.4173703256936067,0.2920353982300884,0.06267773859629167,0.00021626297577855003,0.6848457885291201,0.19577960140679956,0.1201137171286425,0.2476534911646215,0.3824839792493132
6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,0.30398069963811825,0.0,0.02400182004322604,0.013192041522491343,0.9626259428704406,0.0,0.09211087420042643,0.10235823249799264,0.0
