track_id,track_name,artist_name,danceability,energy,valence,speechiness
5kumWHItsKdlYKmdroIVM1,Runner,✝✝✝ (Crosses),0.652,0.792,0.136,0.0474
42Dr2767ODi1zX7KQN8zup,Auto-Sabotage,Last Dinosaurs,0.611,0.896,0.808,0.124
35jyxg80z7cV6rUZhMctyj,Mein,Deftones,0.428,0.932,0.239,0.0515
4bLCPfBLKlqiONo6TALTh5,Entombed,Deftones,0.399,0.753,0.167,0.0375
2jSJm3Gv6GLxduWLenmjKS,Digital Bath,Deftones,0.338,0.859,0.504,0.0824
5hxcxipGOjgTzrPOkfsyyS,Xerces,Deftones,0.547,0.736,0.252,0.0346
3rbs4YknbRTpNGI68IHb6C,Option,✝✝✝ (Crosses),0.398,0.826,0.234,0.0418
7mykoq6R3BArsSpNDjFQTm,I Really Want to Stay at Your House,Rosa Walton,0.49,0.738,0.126,0.0367
6lRJqlbbsSAyoN67hVsF8A,Leave,Whirr,0.229,0.692,0.209,0.0444
4m8wPzkI1y0sUdqEh4A7fq,Kimdracula,Deftones,0.293,0.831,0.467,0.049
5Bpc360LNUScK53FrM8nvB,Hole in the Earth,Deftones,0.139,0.937,0.304,0.206
6QeYSvYqYUsfBzsApbjDHO,Cigarettes out the Window,TV Girl,0.625,0.659,0.594,0.0337
1a19jsjG2DvbN1fVJonKUU,Beaches,beabadoobee,0.417,0.812,0.419,0.0332
4S4QJfBGGrC8jRIjJHf1Ka,Pain,PinkPantheress,0.829,0.617,0.81,0.14
70L6nHORQsblY813yNqUR3,Cherry Waves,Deftones,0.47,0.859,0.17,0.0537
50u2y4zgROMZq2db8Qx94B,cold weather,glass beach,0.341,0.661,0.675,0.0335
6Vecwo7AHst9V2CE3kmwr0,No Such Thing,John Mayer,0.668,0.739,0.571,0.0308
0s1PsjRpN9v3gveUOM6Iux,Neon Roses,The Technicolors,0.192,0.879,0.387,0.0631
4Uiw0Sl9yskBaC6P4DcdVD,Be Quiet and Drive (Far Away),Deftones,0.206,0.965,0.168,0.079
5CM4UuQ9Gnd6K2YyKGPMoK,Bad Habit,Steve Lacy,0.686,0.507,0.69,0.0357
0F57gwy0G6aqnaMAH1ELSV,Futon,Ūla,0.852,0.61,0.713,0.049
27AJf1VXuh3h6QsqQBOLxf,Channel Orange In Your Living Room,Charlie Burg,0.698,0.604,0.832,0.0494
754kgU5rWscRTfvlsuEwFp,Kiss Me,Sixpence None The Richer,0.526,0.749,0.421,0.0283
1Bv3h7Vc4AaYA2BcSM3rVd,All I Wanted,Paramore,0.494,0.723,0.152,0.0441
5VA4Ispp52EA1sOqzMz3Av,All I Want Is You (feat. J. Cole),Miguel,0.776,0.603,0.921,0.0343
70wYA8oYHoMzhRRkARoMhU,When You Were Young,The Killers,0.467,0.988,0.321,0.112
5UWwZ5lm5PKu6eKsHAGxOk,Everlong,Foo Fighters,0.413,0.881,0.364,0.0367
70LcF31zb1H0PyJoS1Sx1r,Creep,Radiohead,0.515,0.43,0.104,0.0372
3SeDS5sSoWnwAZvVgkdKzf,Better in the Dark,Jordana,0.678,0.64,0.701,0.0268
73CKjW3vsUXRpy3NnX4H7F,Fake Plastic Trees,Radiohead,0.463,0.229,0.135,0.0297
2a1iMaoWQ5MnvLFBDv4qkf,High and Dry,Radiohead,0.419,0.383,0.35,0.0256
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,0.612,0.807,0.398,0.0336
1oTo3ijRbaDAtrjJrGAPSw,I Miss You,blink-182,0.655,0.781,0.584,0.034
5TTGoX70AFrTvuEtqHK37S,No. 1 Party Anthem,Arctic Monkeys,0.505,0.698,0.599,0.0297
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,The Police,0.82,0.452,0.74,0.0348
59RtbarKXlfmbKZjvkwoW7,Uneasy Hearts Weigh The Most,Dance Gavin Dance,0.545,0.815,0.759,0.087
2aSC2xhRxOLiiZZVjhbylH,"Hold On, We're Going Home",Drake,0.777,0.414,0.287,0.0946
2lnzGkdtDj5mtlcOW2yRtG,"Whenever, Wherever",Shakira,0.794,0.832,0.871,0.0407
